,country,description,designation,points,price,province,region,taster_name,title,variety,winery
589,France,"Old vines, up to 60 years old, are the basis of this concentrated, ripe and intense wine. It is impressive and tightly wound, with layers of rich citrus fruit and a chalky texture. This is still a little young, so drink from 2018.",Château de la Ragotière Sélection Vieilles Vignes Sur Lie,92,16.0,Loire Valley,Muscadet Sèvre et Maine,Roger Voss,Les Frères Couillaud 2016 Château de la Ragotière Sélection Vieilles Vignes Sur Lie  (Muscadet Sèvre et Maine),Melon,Les Frères Couillaud
590,Chile,"Reasonably nice peach, melon and apple flavors are nothing extraordinary, but together they make for a decent nose. The palate is soft but not what you'd call flabby, while flavors of pear, apple and banana are innocuous and shouldn't send anyone running to the door. For best results, drinknow.",Clásico,84,7.0,Loncomilla Valley,,Michael Schachner,Carta Vieja 2008 Clásico Sauvignon Blanc (Loncomilla Valley),Sauvignon Blanc,Carta Vieja
591,US,"Winemakers Dan Rosenberg and Bob Bossi have dialed this wine in. While not very deep in color, it packs an incredible amount of spicy, meaty notes into the aroma and an even greater amount of ripe, luscious fruit and spice flavors into the palate. It's a gentle giant that oozes with oak accents recalling cedar, cinnamon and vanilla that sink nicely into its plump cherry and plum flavors.",Love Ranch,92,36.0,California,Madera,Jim Gordon,Dante Robere 2015 Love Ranch Mourvèdre (Madera),Mourvèdre,Dante Robere
592,Germany,"Chalk and slate meld into blossomy floral tones in this fragrant off-dry Riesling. Zesty and spry, the palate is marked by flavors of freshly pressed apple, pear and lemon. Drink now through 2020.",Rüdesheim Bischofsberg Kabinett Feinherb,89,20.0,Rheingau,,Anna Lee C. Iijima,Dr. Nägler 2014 Rüdesheim Bischofsberg Kabinett Feinherb Riesling (Rheingau),Riesling,Dr. Nägler
593,Spain,"Rusty in color but natural, which is also this wine's downfall. It has no dosage, so what's left is leafy, herbal Pinot Noir aromas and flavors. It's peachy, drying and zesty, but also saddled with tomato leaf and rhubarb. Such is the life of Brut Nature rosé.",Brut Nature,83,40.0,Catalonia,Cava,Michael Schachner,Maria Casanovas 2004 Brut Nature Pinot Noir (Cava),Pinot Noir,Maria Casanovas
594,US,"This is a very sweet wine, with aromas like cotton candy and marshmallows, flavors like extra-sweet lemonade, and a syrupy texture.",,84,12.0,California,California,Jim Gordon,Moscato Bella 2013 Muscat Canelli (California),Muscat Canelli,Moscato Bella
595,South Africa,"Delicate mint aromas play alongside notes of bittersweet cocoa powder, dried blackberry and date. Mouth-coating tannins provide a firm structure to the medium-weight mouth, while a touch of black pepper spice remains after swallow.",,88,18.0,Stellenbosch,,Lauren Buzzeo,Beau Joubert 2008 Shiraz (Stellenbosch),Shiraz,Beau Joubert
596,US,"This medium-bodied wine is well made, well balanced and offers good complexity from earthy spicy notes as well as solid, attractive fruit flavors at its core, including black cherry and raspberry. The texture is smooth and has a good nip of tannin to cleanse the palate.",Reserve,89,32.0,California,El Dorado,Jim Gordon,Feist 2015 Reserve Barbera (El Dorado),Barbera,Feist
597,France,"This dark-hued blend of Syrah and Grenache shows ample length and suppleness to go along with aromas of fresh herbs, black cherries, espresso and black olives. It'd be a fine casual pairing for burgers or pizza.",Capella,89,16.0,Rhône Valley,Ventoux,Joe Czerwinski,Marrenon 2014 Capella Syrah-Grenache (Ventoux),Syrah-Grenache,Marrenon
598,Argentina,"Spicy, hard aromas blend with pasty black fruit scents. The palate is big and lively, with baked flavors of blackberry and dark plum. Turns tight on the finish, which is crisp and tannic. Good Bonarda and a food-friendly wine.",Colección,86,15.0,Mendoza Province,Mendoza,Michael Schachner,Gardel 2009 Colección Bonarda (Mendoza),Bonarda,Gardel
599,US,"From 65% Cabernet Sauvignon and 35% Zin, this is a deceptively elegant wine wrapped in a full-bodied, richly layered package. Juicy, extracted and generous, its tannins are firm and the oak integrated, with savory characteristics of currant, cedar and pencil shavings showing before a finish of berry pie.",,92,80.0,California,Atlas Peak,Virginie Boone,Paraduxx 2012 Red (Atlas Peak),Red Blend,Paraduxx
600,US,"There's lots of flavor going on here for a modest price. It starts with sharp, well-defined red fruit, tight and acidic, but interesting and nuanced. There's a pretty fair streak of vanilla, which suggests some sort of oak chip treatment, but it fills out the middle and delivers the sort of flavors that many consumers will love.",Traditions,85,15.0,Washington,Washington,,Milbrandt 2005 Traditions Merlot (Washington),Merlot,Milbrandt
601,US,"Leathery on the palate with sizably structured tannins, this estate-grown wine is robust in black cherry and blackberry, sprinkled subtly in black pepper, tar and coffee. Grown on the producer's BCD Vineyard off Olivet Lane, where it also grows Pinot Noir, it finishes softly, and spicy, with length.",,90,28.0,California,Russian River Valley,Virginie Boone,Balletto 2012 Syrah (Russian River Valley),Syrah,Balletto
602,Italy,"Aromas of underbrush, scorched earth and ripe black-skinned fruit take center stage on this bold Barolo. The generous palate is already inviting, offering ripe black cherry, crushed black plum, licorice, ground pepper and sweet pipe tobacco. Velvety tannins provide the framework and lend a polished texture. Thanks to the fruit richness and freshness, you'd never guess it contains 15% avb.",Cannubi,94,60.0,Piedmont,Barolo,Kerin O’Keefe,Giacomo Fenocchio 2011 Cannubi  (Barolo),Nebbiolo,Giacomo Fenocchio
603,Italy,"Fresh, creamy and tightly packed with stone fruit and melon, this lively Pinot Grigio would pair with appetizers or seafood. It boasts a soft, smooth finish with a touch of citrus acidity at the end.",,87,20.0,Northeastern Italy,Friuli Grave,,Cantarutti 2010 Pinot Grigio (Friuli Grave),Pinot Grigio,Cantarutti
604,Italy,"Intensely aromatic, this opens with tantalizing scents of citrus blossom, yellow peach and aromatic herb. The creamy, foaming palate offers apricot, candied tangerine zest, lemon drop and a note of crystallized ginger. Bright acidity and a hint of thyme lift the rich flavors.",,92,16.0,Piedmont,Moscato d'Asti,Kerin O’Keefe,Saracco 2015  Moscato d'Asti,Moscato,Saracco
605,US,"The soft fruitiness of this blend makes it ideal for sipping now with ham, broiled chicken, or casual picnic fare. It's not a complicated wine to ponder over, but to enjoy for its savory raspberry jam, vanilla and cinnamon flavors.",Cuvée de Paso,86,25.0,California,Paso Robles,,Minassian-Young 2010 Cuvée de Paso Red (Paso Robles),Rhône-style Red Blend,Minassian-Young
606,US,"This is a bold but well-balanced wine, with densely fruity aromas, and appealing flavors of pomegranate and blueberry. A layer of fine tannins adds a grippy mouthfeel, making it great with a roast chicken or grilled lamb chop.",Small Lot Blend,88,13.0,California,Mendocino County,Jim Gordon,Parducci 2013 Small Lot Blend Cabernet Sauvignon (Mendocino County),Cabernet Sauvignon,Parducci
607,US,"Fleshy black-plum and cherry flavors are cloaked in layers of dark toast, smoke and spice in this boldly structured red. A blend of Merlot and Cabernet Sauvignon, it neatly balances Merlot's softness with crisp refreshingly herbal expressions of Cabernet. The finish is marked by bramble and elegant fine-grained tannins. Drink now through 2022.",,88,23.0,New York,New York,Anna Lee C. Iijima,Rooster Hill 2015 Meritage (New York),Meritage,Rooster Hill
608,France,"Structured and dense, this wine revels in its tension and tight texture. While there are plenty of black fruits, the dry core of tannins and the rich, perfumed character show this wine's best quality. It is well balanced and ripe while guarding all the freshness of the vintage. Drink from 2022.",,94,,Bordeaux,Saint-Émilion,Roger Voss,Château Angélus 2013  Saint-Émilion,Bordeaux-style Red Blend,Château Angélus
609,Italy,"Aromas of white rose and jasmine lead the nose. The palate isn't bone-dry, delivering ripe apricot, exotic fruit, juicy citrus zest and a honey note.",Terre Magre,87,16.0,Northeastern Italy,Friuli Grave,Kerin O’Keefe,Piera Martellozzo 2013 Terre Magre Traminer (Friuli Grave),Traminer,Piera Martellozzo
610,US,"Though labeled as a red wine, this could just as easily be labeled as Cabernet at 91%, and it drinks like one. Spice, herb, coffee and black-cherry aromas are followed by plump fruit flavors that show purity and depth, trailing ever so slightly toward the finish.",Terrible Beauty,90,25.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Soos Creek 2012 Terrible Beauty Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Soos Creek
611,Portugal,"With 15 months of wood aging enhancing the natural richness of old vines, this impressive wine is both spicy and packed with fruit. It is young, still with its bright baby fruit and with acidity that needs to soften. The wine, with its pepper toast flavors as well as its rich apple and citrus fruits, will be best from 2018.",Crooked Vines Vinho Branco,88,25.0,Douro,,Roger Voss,Secret Spot Wines 2015 Crooked Vines Vinho Branco White (Douro),Portuguese White,Secret Spot Wines
612,Austria,"Made using fruit from one of the top Kamptal vineyards, this perfumed wine has great texture, with tight acidity and notes of green plum skin and lemon zest. With its depth of flavor and nervy, minerally edge, it will age for at least four years.",Steinmassel Erste Lage,92,,Kamptal,,Roger Voss,Bründlmayer 2011 Steinmassel Erste Lage Riesling (Kamptal),Riesling,Bründlmayer
613,France,"The combination of chalk and flint soils has produced a wine that is young and all about minerality at this stage. It has considerable potential with its hints of ripe fruits. For now, with texture dominant, it is still fresh, tangy and developing. Drink from 2018.",La Chapelle des Augustins,92,30.0,Loire Valley,Sancerre,Roger Voss,Henri Bourgeois 2014 La Chapelle des Augustins  (Sancerre),Sauvignon Blanc,Henri Bourgeois
614,Portugal,The wine is perfumed and so soft. It could make a good apéritif with its light texture and equally light acidity. Drink now.,Monte do Enforcado Branco,83,7.0,Alentejano,,Roger Voss,Caves da Montanha 2014 Monte do Enforcado Branco White (Alentejano),Portuguese White,Caves da Montanha
615,US,"Woodward Canyon makes one of Washington's most interesting Chardonnays, blending fruit from the old vines at Celilo in the Columbia Gorge, with estate-grown grapes from the western end of the Walla Walla Valley. In this cooler vintage, the wine remains beautifully proportionate, round and fruity, with pretty apple, pear and peach highlights. There is a light dusting of spice, and a lick of caramel on the finish.",,93,44.0,Washington,Washington,Paul Gregutt,Woodward Canyon 2011 Chardonnay (Washington),Chardonnay,Woodward Canyon
616,Portugal,"Solid tannins lead into a wine that balances very dry, dark fruits with dense wood textures. It's a solid, chunky, bold wine, richly fruity and still young. Drink this firm, ageworthy wine from 2016.",Vale de Cavalos,91,18.0,Douro,,Roger Voss,Poças 2011 Vale de Cavalos Red (Douro),Portuguese Red,Poças
617,US,"Sauvignon Blanc has long been the winery's calling card, but this vintage isn't quite up to past standards. Some high-toned scents add edginess to the tropical fruit, and some bitter skin flavors are borderline too much. Good, but they can do better.",,86,10.0,Washington,Columbia Valley (WA),Paul Gregutt,Arbor Crest 2000 Sauvignon Blanc (Columbia Valley (WA)),Sauvignon Blanc,Arbor Crest
618,US,"This white is blended with 20% Pinot Gris, making for an unusual, interestingly crisp and delightful wine. Stony minerality defines it more than fruitiness, which leans more into savory stone fruit and hazelnut. It offers length and breadth in a medium-sized body.",,91,25.0,California,Russian River Valley,Virginie Boone,Armida 2015 Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,Armida
619,Spain,"Dusty white-fruit aromas come with notes of green herbs and pyrazines. This feels solid and simple, with some plumpness. Generic papaya and dry melon flavors end with a flavor note of green banana.",Torre la Moreira,86,16.0,Galicia,Rías Baixas,Michael Schachner,Marqués de Vizhoja 2016 Torre la Moreira Albariño (Rías Baixas),Albariño,Marqués de Vizhoja
620,Italy,"A simple, citrusy quaff that leans heavily toward pineapple and grapefruit. Some melon flavors round out the package.",Castelcosa,84,12.0,Northeastern Italy,Friuli Venezia Giulia,Joe Czerwinski,Furlan 2000 Castelcosa Sauvignon Blanc (Friuli Venezia Giulia),Sauvignon Blanc,Furlan
621,Spain,"Asphalt, leather and paint aromas are present on the scratchy bouquet. It feels clacky, with pushy acidity and flavors of tomato, saline, herb plum and raspberry. It's lively, with a bite to the finish.",Pavo Real Crianza,84,21.0,Northern Spain,Ribera del Duero,Michael Schachner,Xavier Flouret 2007 Pavo Real Crianza  (Ribera del Duero),Tempranillo,Xavier Flouret
622,Italy,"This elegant vibrant red offers aromas of tilled soil, Mediterranean herb, red berry, a hint of leather and a floral note. The polished palate doles out black raspberry, red currant, licorice and white pepper alongside firm, fine-grained tannins. A mineral note lifts the finish.",Rosso del Soprano,92,59.0,Sicily & Sardinia,Sicilia,Kerin O’Keefe,Palari 2012 Rosso del Soprano Red (Sicilia),Red Blend,Palari
623,Italy,"Fragrant and foaming, this opens with delicate aromas of wisteria, hawthorn and orchard fruit. The luminous palate offers green apple, pear and candied lemon drop supported by racy acidity and small, vivacious bubbles.",Extra Dry Millesimato,88,16.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,Kerin O’Keefe,Raphael Dal Bo 2014 Extra Dry Millesimato  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Raphael Dal Bo
624,US,"Aromas and flavors like mixed fruit cocktail and a rather soft texture make this a pleasant, easy-drinking wine. Medium bodied and not tart, it seems almost sweet on the finish.",,84,9.0,California,California,Jim Gordon,Redtree 2013 Pinot Grigio (California),Pinot Grigio,Redtree
625,US,"Vanilla, cocoa, graphite, woodspice and black cherry aromas lead to polished blackberry and cherry flavors in this Cabernet. It shows a fine balance and texture that piques interest, and a distinctive spice note that lingers on the finish.",Champoux Vineyard,92,55.0,Washington,Horse Heaven Hills,Sean P. Sullivan,Januik 2014 Champoux Vineyard Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,Januik
626,US,"Red cherry meets with tar, wet herbs and cinnamon stick on the nose of this wine. Framed by a decent tannic structure, the palate boasts flavors of more red cherry and thyme.",,86,26.0,California,California,Matt Kettmann,Danza del Sol 2011 Sangiovese (California),Sangiovese,Danza del Sol
627,France,This is delicate and crisply fruity. Its acidity and citrus presence offer a fragrant character that contrasts nicely with the more creamy texture.,Pas si Petit,86,20.0,Burgundy,Petit Chablis,Roger Voss,La Chablisienne 2011 Pas si Petit  (Petit Chablis),Chardonnay,La Chablisienne
628,US,"Light herb aromas and vivid apple flavors make this medium-bodied wine delicious, while the tangy, nervy texture keeps the mouth tingling. It has great balance, concentration and length on the finish.",Estate Bottled,90,18.0,California,El Dorado,Jim Gordon,Lava Cap 2015 Estate Bottled Sauvignon Blanc (El Dorado),Sauvignon Blanc,Lava Cap
629,US,"This pretty Pinot Noir is drinking well now, but has the depth to last for a while. It's succulent and forward in black and red currant, Dr. Pepper, clove, smoky vanilla and pepper flavors. Really a beautiful, alluring wine.",Bien Nacido Vineyard,93,36.0,California,Santa Maria Valley,,Kynsi 2005 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Kynsi
630,France,"There is a lightly toasty aroma here. On the palate, this wine is ripe, rich and full in the mouth.It has a smooth, creamy texture that is round while keeping plenty of room for acidity. This attractive wine should be drunk now.",Les Burdines,87,,Burgundy,Mâcon-Villages,Roger Voss,Collin-Bourisset 2013 Les Burdines  (Mâcon-Villages),Chardonnay,Collin-Bourisset
631,US,"With hard tannins, sharp acids and dry, somewhat austere mouthfeel, this wine, blended with a drop of Malbec, distinguishes itself for its complexity. Blackberries, black currants, cassis liqueur and espresso flavors combine for interest. Yet the wine doesn't seem to be an ager. It needs rich, fatty meats and cheeses to balance the astringency.",Texas Ranch Vineyard Reserve Rows,87,65.0,California,Paso Robles,,Cinnabar 2011 Texas Ranch Vineyard Reserve Rows Petit Verdot (Paso Robles),Petit Verdot,Cinnabar
632,Italy,"Made with biodynamically grown Moscato grapes, this fragrant white wine opens with honey, white flower and stone fruit aromas. The mouthfeel is creamy and rich, with a touch of sweetness on the finish.",Jalal,87,42.0,Southern Italy,Puglia,,Cefalicchio 2011 Jalal Moscato (Puglia),Moscato,Cefalicchio
633,Italy,"Santo is a creamy Moscato d'Asti with ripe fruit aromas of yellow rose, honey and apricot. The wine shows a thick, bold style ,with an off-gold color and plenty of sweetness on the sticky finish.",Santo,85,10.0,Piedmont,Moscato d'Asti,,Santero 2011 Santo  (Moscato d'Asti),Moscato,Santero
634,US,"Subtle, intricate aromas and equally sophisticated flavors of baking spices, tamarind and cherries make this a fascinating wine to taste. It's full bodied but lithe. Energizing acidity and firm tannins give it great structure and help carry the complex flavors through a lingering finish.",Helluva vineyard,93,35.0,California,Anderson Valley,Jim Gordon,Betwixt 2015 Helluva vineyard Pinot Noir (Anderson Valley),Pinot Noir,Betwixt
635,US,"The minerality in this wine is showcased through notes of granite that give a firm kick to the ripe apricots, citrus, tropical fruit and honeysuckle that make it so gorgeous. Drink now with fare such as lobster, tuna or scallops.",Bear Point,92,55.0,California,Alexander Valley,,Stonestreet 2011 Bear Point Chardonnay (Alexander Valley),Chardonnay,Stonestreet
636,Chile,"Mildly toasty and buttery on the nose, then wet, zesty and citric in the mouth, but with boundaries and corpulent borders that maintain integrity. Finishes toasty with some vanilla, but also mildly pithy. A solid Chardonnay by New World standards.",Tributo Single Vineyard,87,20.0,Casablanca Valley,,Michael Schachner,Caliterra 2008 Tributo Single Vineyard Chardonnay (Casablanca Valley),Chardonnay,Caliterra
637,France,"A white currant-flavored wine with soft but fresh acidity, layered with just a touch of spice. The wine is fruity, juicy, an easy drink as an aperitif or with fish.",,84,9.0,Southwest France,Vin de Pays des Côtes de Gascogne,Roger Voss,Domaine de Ballade 2007 Colombard-Sauvignon Blanc (Vin de Pays des Côtes de Gascogne),Colombard-Sauvignon Blanc,Domaine de Ballade
638,Germany,"Pressed apple and pear are touched with petrol and crushed rock notes in this savory dry Riesling. More mineral than fruit, it's slightly restrained yet elegant, with a lingering, delicately astringent finish. Drink now through 2019.",Wachenheimer Gerümpel Erste Lage Dry,90,34.0,Pfalz,,Anna Lee C. Iijima,Karl Schaefer 2014 Wachenheimer Gerümpel Erste Lage Dry Riesling (Pfalz),Riesling,Karl Schaefer
639,US,"Loads of ripe blackberry and boysenberry aromas lead to a plush, not quite soft mouthfeel laced with berry, cherry, clove and cinnamon flavors. It's a very generous, mouth-filling wine that will bring a lot of enjoyment.",Jack Rabbit Flat Vineyard,92,50.0,California,Amador County,Jim Gordon,Renwood 2014 Jack Rabbit Flat Vineyard Zinfandel (Amador County),Zinfandel,Renwood
640,US,"You'll want to age this wine for a good 6–8 years, because right now it's rather tough in tannins, and the fruit and oak have not married. Nonetheless it's quite a good wine. Shows complex layers of blackberries, currants and caramelized oak. Lifts Alexander Valley Cabernet above its usual level into noteworthy.",Vyborny Vineyard Plus,93,150.0,California,Alexander Valley,,Goldschmidt 2006 Vyborny Vineyard Plus Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Goldschmidt
641,US,"A lush, opulent Cabernet for drinking now. Shows classic Napa structure, with firm, fine tannins housing ripe flavors of blackberries, currants, cassis and herbs, touched by smoky oak.",Reserve,93,45.0,California,Napa Valley,,Summers 2007 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Summers
642,US,"This is a good value for a sophisticated Merlot from Napa Valley. It's not an ager, but it's delightful now for its dryness, smooth tannins and complex cherry and red currant flavors with hints of herbs and sweet peas.",,88,19.0,California,Napa Valley,,Parcel 41 2011 Merlot (Napa Valley),Merlot,Parcel 41
643,France,"Structured wine with 30% of Cabernet to give shape to the very ripe Merlot. The wine has both acidity, some firm tannins and a concentrated, dry core. It's likely to age well over 3–4 years.",,85,16.0,Bordeaux,Bordeaux Supérieur,Roger Voss,Domaine de Courteillac 2010  Bordeaux Supérieur,Bordeaux-style Red Blend,Domaine de Courteillac
644,US,"With honeyed flavors of peaches, pineapples, wildflowers and spices, this single-vineyard Viognier has fine acidic crispness that balances its slight sweetness.",Babcock Ranch,84,16.0,California,Suisun Valley,,Bask 2006 Babcock Ranch Viognier (Suisun Valley),Viognier,Bask
645,Austria,"Beautiful savoriness rises from the glass—pepper and yeast, but also something of pine and watercress. The palate swings with all of these flavors and embeds them on a rich cushion of gentle fruit: ripe yellow pear and juicy yellow plum. The white pepper always edges its way in and tempers the generosity of the fruit. This simply is gorgeous and very moreish.",Ried Lamm Reserve,94,43.0,Kamptal,,Anne Krebiehl MW,Eichinger 2015 Ried Lamm Reserve Grüner Veltliner (Kamptal),Grüner Veltliner,Eichinger
646,Argentina,"This is called a “white from Malbec” because it spends little time on its skins during maceration. The color is translucent pink, and the nose is pure wood smoke and minerals due to six months of barrel fermentation and aging. As a result of this unusual methodology, wood resin, sawdust, vanilla and creaminess cover the nose, mouth and finish, while fruit characteristics are hard to locate.",Blanc de,86,25.0,Mendoza Province,Mendoza,Michael Schachner,Vicentin 2012 Blanc de Malbec (Mendoza),Malbec,Vicentin
647,Italy,"Fragrant and polished, this offers enticing aromas of spiced plum, rose, aromatic herb and menthol. The elegant, linear palate doles out red cherry, crushed raspberry, anise, pipe tobacco and mineral set against firm, fine-grained tannins and bright acidity. Drink 2018 through 2028.",Tre Vigne,94,42.0,Piedmont,Gattinara,Kerin O’Keefe,Travaglini 2010 Tre Vigne  (Gattinara),Nebbiolo,Travaglini
648,US,"Savory, smoky tones lend a shadowy feel to fresh apple and pear flavors in this dry medium-bodied Pinot Gris. It's not deeply concentrated in fruit but refreshing and easy going. Drink now through 2018.",Sawmill Creek Vineyards,86,16.0,New York,Finger Lakes,Anna Lee C. Iijima,Billsboro 2015 Sawmill Creek Vineyards Pinot Gris (Finger Lakes),Pinot Gris,Billsboro
649,US,"An ambitious and successful rosé made from 50% Gamay Noir and 50% Grenache, this light yellow-pink wine offers inviting pink grapefruit skin, Gala apple and green pear on the nose. The palate shows the tiniest bit of sweetness, which makes the Pink Lady apple and tangerine-led citrus notes all the more delicious. Beware: this goes down all too easy.",,90,22.0,California,Monterey,Matt Kettmann,Joyce 2015 Rosé (Monterey),Rosé,Joyce
650,Chile,"Cherry and plum aromas are pure and appealing as peppery accents pop up. This is flush and a bit lush, with spiced red plum and oaky chocolate flavors that end dry, elegant and focused. Valle Secreto makes consistently good Syrah; this is one of the winery's best to date. Drink through 2018.",First Edition,91,24.0,Cachapoal Valley,,Michael Schachner,Valle Secreto 2012 First Edition Syrah (Cachapoal Valley),Syrah,Valle Secreto
651,France,"This wine is a bit on the lean side compared to most southern Rhône whites, but the plus side to that is its freshnesss and vivacity. Pear fruit is underlined by hints of spice, finishing clean and crisp. Drink now.",,86,11.0,Rhône Valley,Côtes du Luberon,Joe Czerwinski,Louis Bernard 2007 White (Côtes du Luberon),Rhône-style White Blend,Louis Bernard
652,France,"A softly juicy wine, this is missing structure while it has plenty of fruit. It's ripe, rich and juicy; a pleasure to drink in 2–3 years.",,85,15.0,Bordeaux,Castillon Côtes de Bordeaux,Roger Voss,Château Langrange Monbadon 2010  Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Château Langrange Monbadon
653,Chile,"It took this Concha y Toro specialty label a few years to find its footing with Sauvignon Blanc, but in 2010 they found it. This is a subtle but chiseled wine with structure, juicy acidity and pure apple, lime and tarragon flavors. It's consistent from nose to tail, and it's deep and layered, too.",Reserva Especial,91,22.0,Limarí Valley,,Michael Schachner,Maycas del Limari 2010 Reserva Especial Sauvignon Blanc (Limarí Valley),Sauvignon Blanc,Maycas del Limari
654,Italy,"Quite tight at the present time, but there are distinct game and leather aromas and flavors. The structure is fine for a young Amarone but the short finish shows only earth tones and not much fruit. The acidity seems a bit high. Try it again in a few years.",,86,50.0,Veneto,Amarone della Valpolicella Classico,,Bolla 1996  Amarone della Valpolicella Classico,Red Blend,Bolla
655,US,"Roughly half Cab Franc, this includes Malbec, Cabernet Sauvignon, Merlot and Tempranillo as well. Here the fruit is accented, not overtaken, with the flavors of barrels. The best of the winery's red wines, it augments its pretty cherry core with a streak of coffee and dark chocolate.",Di'tani,88,26.0,Oregon,Rogue Valley,Paul Gregutt,Kriselle 2013 Di'tani Red (Rogue Valley),Red Blend,Kriselle
656,US,"This blend of Grenache, Syrah and Mourvèdre is dry, acidic and not quite ripe. There's a green tobacco edge to the fruit. It's also a bit funky.",Esperance,82,25.0,California,Central Coast,,Andrew Murray 2010 Esperance Red (Central Coast),Rhône-style Red Blend,Andrew Murray
657,Italy,"This opens with aromas of underbrush, violet, black cherry, plum and allspice. The palate is austere at this stage but it still offers sour cherry and crushed raspberry accented with notes of black pepper, espresso and sage alongside tightly packed tannins and brisk acidity. Drink after 2022.",Margheria,90,56.0,Piedmont,Barolo,Kerin O’Keefe,Luigi Pira 2010 Margheria  (Barolo),Nebbiolo,Luigi Pira
658,Italy,"This textbook Brunello boasts a careful balance of elements. Sweet cherry and vanilla aromas segue to austere notes of exotic spice, cola and waxed leather. This is a tempered but elegant wine that would match savory duck with wild rice.",,92,,Tuscany,Brunello di Montalcino,,Pinino 2006  Brunello di Montalcino,Sangiovese Grosso,Pinino
659,US,"This has been a consistent bottling from Wolff. The '06 shows classic Edna Valley acidity and very ripe, long hangtime fruit flavors of pineapples, Key limes, papayas and mangoes. It finishes with rich honey, but the wine is thoroughly dry.",Old Vines Estate,87,21.0,California,Edna Valley,,Wolff 2006 Old Vines Estate Chardonnay (Edna Valley),Chardonnay,Wolff
660,France,"Produced from biodynamically grown grapes (as are all the Olivier Leflaive family grand and premier crus), this is a gorgeous, opulent wine. It has richness and great intensity as well as fine acidity and crisp apple fruits. Toast and vanilla come from the wood aging. The wine is so generous and packed with fruit as well as a strong mineral texture. Drink from 2022.",,95,569.0,Burgundy,Bâtard-Montrachet,Roger Voss,Olivier Leflaive 2014  Bâtard-Montrachet,Chardonnay,Olivier Leflaive
661,France,"This is a structured wine, juicy with black-currant fruit and acidity. It will develop quickly, softening its tannins and filling out with ripe fruit. Drink from 2018.",Fleur du Roc,86,25.0,Bordeaux,Saint-Émilion,Roger Voss,Cheval Quancard 2015 Fleur du Roc  (Saint-Émilion),Bordeaux-style Red Blend,Cheval Quancard
662,US,"This is a big, flavorful wine, luscious in aroma, flavor and texture from the first whiffs of spicy oak and funky earth through saturated blackberry and clove flavors. The texture is both velvety and almost stiff at the same time. Drink now through 2020.",DTR Ranch,94,40.0,California,Fiddletown,Jim Gordon,Terre Rouge 2012 DTR Ranch Syrah (Fiddletown),Syrah,Terre Rouge
663,US,"A very nice interpretation of coastal Chardonnnay, from this increasingly well-regarded vineyard. It's rich in notes of peach smoothie, pineapple tart, buttered toast, vanilla, honey and creamy lees, yet manages to finish dry. Brightened by crisp acidity, it never loses a sense of pin-pointed focus. Drink now.",Soberanes Vineyard,92,50.0,California,Santa Lucia Highlands,,Lucia 2011 Soberanes Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,Lucia
664,Italy,"This shows a bright quality of fruit, with fine nuances of berry, tart cherry and plum. The acidity would pair with oven-roasted lasagna with a cheesy crust.",Sallier de la Tour,86,13.0,Sicily & Sardinia,Sicilia,,Tasca d'Almerita 2010 Sallier de la Tour Nero d'Avola (Sicilia),Nero d'Avola,Tasca d'Almerita
665,US,"What a fine Chardonnay. Made in a bone dry, minerally style, it may not have the immediately seductive quality of some Chards, but it does show a Chablis-like elegance that makes it a natural for food pairing, with its fine citrus and steel tang and mouthwatering acidity.",Bien Nacido Vineyard Block UU,92,32.0,California,Santa Maria Valley,,Foxen 2007 Bien Nacido Vineyard Block UU Chardonnay (Santa Maria Valley),Chardonnay,Foxen
666,US,"A dull wine, lacking zest, with extracted, soft flavors of berries, currants, anise, milk chocolate and spices that turn overripe on the finish. Pretty expensive for what you get.",,84,43.0,California,Napa Valley,,Andretti 2009 Zinfandel (Napa Valley),Zinfandel,Andretti
667,Israel,"Forest, Yatir's top-of-the-line offering, is always a dense and powerful wine that can age. Right now, the wine smells young and a bit closed, hiding some of its beauty and nuance behind the upfront black plum, cassis and cherry fruit aromas. Hints of fruitcake spice, bramble, cigar box and leather occasionally flicker in the background, revealing what time has in store for this dark beauty of a wine. Big and rich right now, with a full structure and gripping tannins. Drink 2016–2022.",Forest,92,85.0,Judean Hills,,Lauren Buzzeo,Yatir 2009 Forest Red (Judean Hills),Bordeaux-style Red Blend,Yatir
668,France,"The 60% Cabernet in the blend gives a dark fruit character. At this young stage, the wood aging still dominates with its burnt toast and chocolate character. For the future, while the wine will be dry, it also has plenty of fresh fruit. Drink from 2018.",,87,,Bordeaux,Médoc,Roger Voss,Château Taffard de Blaignan 2012  Médoc,Bordeaux-style Red Blend,Château Taffard de Blaignan
